feature,importance
3427,0.0017877444340111336
1397,0.0017858239882878582
3282,0.0017546129600211977
1538,0.0017377569144422047
2458,0.001734642511633007
1061,0.0017330791688223237
2641,0.0017043351219383665
2904,0.0017042631155846151
3014,0.0017004406932207916
172,0.0016993704008866717
731,0.0016926790233919757
2407,0.0016881185723761375
305,0.001683176521291761
301,0.0016813768209149402
2179,0.0016623433782983464
2984,0.0016565606493874454
2547,0.0016455370855484872
647,0.0016316286096437456
155,0.001625571446422423
3058,0.0016126137077517352
2151,0.0016068128213076074
2066,0.0016007689277301423
2443,0.0015929828412310054
340,0.0015628232884822122
3090,0.0015625998615393364
2428,0.0015459980924008103
200,0.0015444619488326928
2708,0.0015127306801252208
764,0.0014944105072169608
2903,0.0014931890730678413
130,0.0014568176234980093
2722,0.0014491176424429604
4510,0.0014456123890450063
4388,0.0014263125255080538
4533,0.0014258359987182553
3379,0.001422090892350408
1990,0.001408579045695888
1107,0.0014078816745123448
4330,0.0013952800519337319
4022,0.001392612357528561
1087,0.0013864440820838594
4513,0.0013841243898263579
4315,0.0013746775700966495
2122,0.0013700339201110038
1157,0.0013661463488779055
874,0.001361626631030196
2386,0.00135399352012185
1907,0.001333515054007209
1116,0.001327209933533227
264,0.001319947728886193
3386,0.0013077308022097518
285,0.0013041835444304029
4755,0.001302010458300703
4852,0.0012924845025923865
1631,0.0012794219341202482
235,0.0012780992900392571
2388,0.0012690070156516978
267,0.0012619406363759895
2115,0.0012489202288407577
2885,0.001246767827416799
2258,0.0012457803705070458
1663,0.0012454508260839818
2981,0.0012375090096086309
1083,0.0012301264364081568
2627,0.001224339693284123
2062,0.001207142178540731
1127,0.0011998451147729088
4657,0.001197258508802468
801,0.0011951964882635738
2690,0.0011933931450178196
1531,0.001191860392037427
4994,0.0011883190777112985
41,0.0011868729493112599
4780,0.0011742244133909623
2956,0.0011709747743528238
224,0.001169709577813063
2768,0.0011682953631283422
368,0.0011632848899469344
2483,0.0011534010830252372
2228,0.0011427039369945819
360,0.0011356286466776663
894,0.0011352961993562876
3948,0.001134777069042937
378,0.0011342765636408252
1771,0.0011312872257289986
2643,0.001124995717967398
279,0.0011172531059148358
2870,0.0011116351885134736
295,0.0011111866112517076
612,0.0011027411048193715
873,0.0010998398857104158
657,0.0010982999270182597
541,0.0010975294634544862
2439,0.0010949499995454228
4334,0.001092632388446868
4676,0.0010867978700204875
3875,0.0010866031516644109
2010,0.0010855379472541429
4319,0.0010764958841988066
215,0.001070424332213232
241,0.0010662279171785279
2460,0.0010658245890475698
4896,0.0010602487965937625
2657,0.001054966948293137
3109,0.0010542966760061548
1487,0.00104700013197415
347,0.0010469435297800198
2116,0.00104479313476513
472,0.0010425863126155457
3618,0.001041851735789589
1927,0.0010415743538840071
2675,0.0010385573818312071
4079,0.0010383474090741513
2189,0.0010379587497981134
530,0.0010345855370512494
3381,0.0010130789233588951
206,0.0010067672594877646
818,0.0010052986180441375
3143,0.0009972949212724452
330,0.0009949917886615469
464,0.0009940631090444192
4743,0.000993657868018094
3482,0.0009936040876716672
3362,0.0009932920712647769
470,0.0009922925226405904
281,0.0009908591301300647
533,0.0009835531361716491
2952,0.0009801595142458117
282,0.0009753763002769535
447,0.0009653998403842025
2340,0.0009620805032720256
268,0.0009584992524432686
386,0.00095167811035897
3711,0.0009489633392895192
766,0.0009479448652735961
3632,0.0009356368873381396
3849,0.0009314845214985049
3048,0.0009224185838488643
2872,0.0009199646530453637
1431,0.0009172557528991956
3839,0.0009159599237784912
4807,0.000913921995036306
2462,0.0009116850853229862
2440,0.0009074081190862299
1244,0.0009053603693024074
4962,0.0009051690026112158
2581,0.0008982628241230053
855,0.0008905878925171413
3826,0.0008858410844744437
3748,0.0008858165635427537
1466,0.0008855519456321719
943,0.0008849048738003633
2980,0.0008776699433622128
265,0.0008757584362607004
4080,0.0008745965978623642
2807,0.000872338634038008
4498,0.0008721408482152218
2563,0.0008713869672481424
2825,0.0008635029189042521
3749,0.0008620465914708442
4792,0.0008613410372477244
4398,0.0008549517351184386
3470,0.0008517228722356141
1409,0.000849681741312153
1433,0.0008489502938264518
1893,0.0008488208176574946
1904,0.0008463631841078169
4803,0.0008457015843220296
973,0.0008445995587047197
